qid,run_id,ternary_score,binary_score,n_criteria,n_mandatory_fail,response_length
rag2026-32,aus-agent-test-v2,0.72963,0.703704,33,6,998.0
rag2026-36,aus-agent-test-v2,0.264706,0.058824,23,12,916.0
rag2026-35,aus-agent-test-v2,0.59375,0.460938,28,13,1022.0
rag2026-37,aus-agent-test-v2,0.628866,0.453608,23,9,893.0
rag2026-38,aus-agent-test-v2,0.641221,0.587786,28,10,936.0
rag2026-42,aus-agent-test-v2,0.559322,0.474576,16,5,1015.0
rag2026-39,aus-agent-test-v2,0.653409,0.522727,23,6,994.0
rag2026-40,aus-agent-test-v2,0.730769,0.637363,23,5,997.0
rag2026-41,aus-agent-test-v2,0.465,0.38,23,12,922.0
rag2026-46,aus-agent-test-v2,0.875,0.875,18,1,950.0
rag2026-43,aus-agent-test-v2,0.514019,0.448598,28,9,1008.0
rag2026-48,aus-agent-test-v2,0.819444,0.736111,18,3,888.0
rag2026-44,aus-agent-test-v2,0.50431,0.336207,28,13,914.0
rag2026-50,aus-agent-test-v2,0.631579,0.45614,15,5,902.0
rag2026-45,aus-agent-test-v2,0.625984,0.425197,29,13,948.0
rag2026-47,aus-agent-test-v2,0.685393,0.617978,22,6,997.0
rag2026-51,aus-agent-test-v2,0.766667,0.733333,18,4,922.0
rag2026-49,aus-agent-test-v2,0.651786,0.544643,29,7,892.0
rag2026-52,aus-agent-test-v2,0.282828,0.232323,27,12,959.0
rag2026-54,aus-agent-test-v2,0.561856,0.525773,23,8,1006.0
rag2026-53,aus-agent-test-v2,0.447368,0.357895,22,11,1015.0
rag2026-57,aus-agent-test-v2,0.69375,0.5375,19,7,948.0
rag2026-56,aus-agent-test-v2,0.623529,0.505882,20,8,956.0
rag2026-55,aus-agent-test-v2,0.507874,0.362205,32,15,899.0
rag2026-58,aus-agent-test-v2,0.821782,0.80198,25,2,956.0
rag2026-59,aus-agent-test-v2,0.542453,0.45283,26,10,842.0
rag2026-62,aus-agent-test-v2,0.841667,0.783333,18,1,941.0
rag2026-60,aus-agent-test-v2,0.553763,0.516129,24,7,873.0
rag2026-64,aus-agent-test-v2,0.604396,0.483516,20,9,966.0
rag2026-65,aus-agent-test-v2,0.621429,0.585714,17,5,870.0
rag2026-63,aus-agent-test-v2,0.625,0.583333,30,5,957.0
rag2026-61,aus-agent-test-v2,0.55814,0.337209,22,9,1018.0
rag2026-67,aus-agent-test-v2,0.715278,0.569444,18,5,1023.0
rag2026-66,aus-agent-test-v2,0.553191,0.414894,23,9,962.0
rag2026-68,aus-agent-test-v2,0.746914,0.580247,21,6,988.0
rag2026-70,aus-agent-test-v2,0.765,0.74,23,4,912.0
rag2026-69,aus-agent-test-v2,0.488722,0.360902,32,15,1023.0
rag2026-71,aus-agent-test-v2,0.6,0.491667,27,11,1016.0
rag2026-72,aus-agent-test-v2,0.270161,0.193548,32,16,1005.0
683a58c9a7e7fe4e7695848b,aus-agent-creative-check,0.715789,0.536842,22,8,1006.0
rag2026-73,aus-agent-test-v2,0.864341,0.806202,30,5,994.0
683a58c9a7e7fe4e7695846f,aus-agent-creative-check,0.544872,0.435897,18,8,1012.0
683a58c9a7e7fe4e76958498,aus-agent-creative-check,0.491935,0.387097,32,12,1007.0
684397d188c1deceb49af31d,aus-agent-creative-check,0.614754,0.47541,14,6,977.0
684397d188c1deceb49af325,aus-agent-creative-check,0.686441,0.491525,16,4,948.0
683a58c9a7e7fe4e76958488,aus-agent-creative-check,0.803279,0.672131,17,2,951.0
rag2026-74,aus-agent-test-v2,0.038462,0.0,18,14,998.0
684397d188c1deceb49af32d,aus-agent-creative-check,0.552632,0.421053,27,12,874.0
6847465956a0f6376a605367,aus-agent-creative-check,0.485,0.34,23,12,976.0
6847465956a0f6376a605360,aus-agent-creative-check,0.291339,0.275591,32,16,893.0
rag2026-75,aus-agent-test-v2,0.627907,0.476744,22,7,969.0
6847465956a0f6376a60535d,aus-agent-creative-check,0.520833,0.25,21,14,924.0
rag2026-76,aus-agent-test-v2,0.9,0.821053,22,3,1000.0
rag2026-77,aus-agent-test-v2,0.465649,0.351145,31,15,946.0
rag2026-72,aus-agent-math-check,0.217742,0.16129,32,16,1006.0
rag2026-72,test-ase-api-server-run,0.0,0.0,32,20,62.0
rag2026-79,aus-agent-test-v2,0.717647,0.588235,23,5,830.0
rag2026-78,aus-agent-test-v2,0.534483,0.406897,32,16,945.0
rag2026-72,aus-agent-discovery-check,0.25,0.153226,32,17,966.0
rag2026-72,test-ase-api-server-run-1,0.310484,0.274194,32,14,942.0
rag2026-72,aus-agent-recon-check,0.322581,0.258065,32,14,976.0
rag2026-72,aus-agent-opus-check,0.427419,0.41129,32,11,969.0
rag2026-72,aus-agent-qterm-check,0.330645,0.274194,32,14,948.0
rag2026-72,aus-agent-terra-check,0.189516,0.153226,32,17,799.0
rag2026-72,aus-agent-azure-terra,0.193548,0.112903,32,18,642.0
rag2026-72,aus-agent-azure-luna,0.375,0.298387,32,13,861.0
rag2026-72,aus-agent-azure-sol,0.270161,0.217742,32,15,815.0
rag2026-22,aus-agent-azure-terra,0.536585,0.333333,30,14,719.0
rag2026-22,aus-agent-azure-luna,0.49187,0.308943,30,15,927.0
6847465956a0f6376a605367,aus-agent-luna-dev,0.615,0.49,23,9,936.0
6847465956a0f6376a6053fb,aus-agent-luna-dev,0.423077,0.292308,16,8,823.0
rag2026-22,aus-agent-azure-sol,0.593496,0.430894,30,12,864.0
683a58c9a7e7fe4e76958498,aus-agent-luna-dev,0.439516,0.282258,32,15,867.0
6847465956a0f6376a6053fb,aus-agent-luna-dev2,0.453846,0.323077,16,8,913.0
683a58c9a7e7fe4e76958498,aus-agent-luna-dev2,0.423387,0.362903,32,13,1011.0
6847465956a0f6376a605391,aus-agent-luna-dev,0.523649,0.364865,32,18,972.0
6847465956a0f6376a6053fb,aus-agent-luna-dev3,0.538462,0.307692,16,9,898.0
6847465956a0f6376a605493,aus-agent-luna-dev,0.443966,0.396552,34,10,984.0
6847465956a0f6376a6054a7,aus-agent-luna-dev2,0.408654,0.182692,25,15,738.0
6847465956a0f6376a605404,aus-agent-luna-dev4,0.648438,0.515625,17,5,885.0
683a58c9a7e7fe4e76958498,aus-agent-luna-dev3,0.423387,0.306452,32,14,918.0
6847465956a0f6376a6054a7,aus-agent-luna-dev3,0.456731,0.278846,25,13,889.0
6847465956a0f6376a6053fb,aus-agent-luna-dev4,0.461538,0.292308,16,8,953.0
683a58c9a7e7fe4e76958498,aus-agent-luna-dev4,0.532258,0.362903,32,13,1013.0
6847465956a0f6376a605367,aus-agent-luna-dev4,0.585,0.44,23,10,891.0
683a58c9a7e7fe4e7695846f,aus-agent-sat-go,0.435897,0.435897,18,8,977.0
6847465956a0f6376a6054a7,aus-agent-luna-dev4,0.447115,0.326923,25,12,564.0
684397d188c1deceb49af31d,aus-agent-sat-go,0.762295,0.721311,14,3,958.0
683a58c9a7e7fe4e76958488,aus-agent-sat-go,0.614754,0.459016,17,5,653.0
6847465956a0f6376a605493,aus-agent-luna-dev4,0.474138,0.362069,34,10,951.0
683a58c9a7e7fe4e7695848b,aus-agent-sat-go,0.694737,0.589474,22,7,986.0
683a58c9a7e7fe4e76958498,aus-agent-sat-go,0.358871,0.290323,32,14,874.0
684397d188c1deceb49af325,aus-agent-sat-go,0.720339,0.644068,16,3,924.0
6847465956a0f6376a605493,aus-agent-luna-cap10,0.49569,0.422414,34,9,841.0
6847465956a0f6376a605360,aus-agent-sat-go,0.161417,0.141732,32,19,965.0
684397d188c1deceb49af32d,aus-agent-sat-go,0.657895,0.570175,27,9,910.0
6847465956a0f6376a60535d,aus-agent-sat-go,0.692708,0.5625,21,8,837.0
6847465956a0f6376a605367,aus-agent-sat-go,0.505,0.37,23,11,964.0
6847465956a0f6376a6053a0,aus-agent-sat-go,0.381148,0.360656,28,14,949.0
6847465956a0f6376a605404,aus-agent-sat-go,0.554688,0.4375,17,6,820.0
6847465956a0f6376a6053fb,aus-agent-sat-go,0.684615,0.553846,16,5,865.0
6847465956a0f6376a605387,aus-agent-sat-go,0.791667,0.6875,21,6,967.0
6847465956a0f6376a6053c9,aus-agent-sat-go,0.175676,0.054054,27,19,986.0
6847465956a0f6376a6053ca,aus-agent-sat-go,0.561856,0.505155,26,6,845.0
6847465956a0f6376a605391,aus-agent-sat-go,0.304054,0.22973,32,22,918.0
6847465956a0f6376a60542a,aus-agent-sat-go,0.393939,0.232323,27,12,979.0
6847465956a0f6376a605440,aus-agent-sat-go,0.583333,0.537037,15,3,259.0
6847465956a0f6376a60543d,aus-agent-sat-go,0.664557,0.632911,23,3,816.0
6847465956a0f6376a605433,aus-agent-sat-go,0.676829,0.634146,23,4,968.0
6847465956a0f6376a60547f,aus-agent-sat-go,0.908333,0.85,15,1,866.0
6847465956a0f6376a60542d,aus-agent-sat-go,0.668421,0.526316,25,7,958.0
6847465956a0f6376a605476,aus-agent-sat-go,0.21831,0.098592,19,10,907.0
6847465956a0f6376a60547e,aus-agent-sat-go,0.668478,0.576087,22,7,992.0
6847465956a0f6376a605492,aus-agent-sat-go,0.530928,0.402062,23,10,441.0
6847465956a0f6376a605493,aus-agent-sat-go,0.590517,0.543103,34,7,842.0
6847465956a0f6376a6054a7,aus-agent-sat-go,0.408654,0.134615,25,16,804.0
6847465956a0f6376a6054be,aus-agent-sat-go,0.200787,0.133858,29,20,836.0
6847465956a0f6376a6054ad,aus-agent-sat-go,0.830357,0.785714,26,4,1016.0
