run_a,run_b,shared_topics,valid_judgments,run_a_wins,run_b_wins,ties,run_a_preference_rate,run_b_preference_rate
aus-agent-opus-check,test-ase-api-server-run,1,1,1,0,0,1.0,0.0
aus-agent-qterm-check,aus-agent-recon-check,1,1,1,0,0,1.0,0.0
aus-agent-qterm-check,aus-agent-sat-go,0,0,0,0,0,,
aus-agent-qterm-check,aus-agent-terra-check,1,1,1,0,0,1.0,0.0
aus-agent-qterm-check,aus-agent-test-full,0,0,0,0,0,,
aus-agent-qterm-check,aus-agent-test-v2,1,1,1,0,0,1.0,0.0
aus-agent-qterm-check,test-ase-api-server-run-1,1,1,1,0,0,1.0,0.0
aus-agent-qterm-check,test-ase-api-server-run,1,1,1,0,0,1.0,0.0
aus-agent-recon-check,aus-agent-sat-go,0,0,0,0,0,,
aus-agent-recon-check,aus-agent-terra-check,1,1,0,1,0,0.0,1.0
aus-agent-recon-check,aus-agent-test-full,0,0,0,0,0,,
aus-agent-recon-check,aus-agent-test-v2,1,1,1,0,0,1.0,0.0
aus-agent-recon-check,test-ase-api-server-run-1,1,1,1,0,0,1.0,0.0
aus-agent-recon-check,test-ase-api-server-run,1,1,1,0,0,1.0,0.0
aus-agent-sat-go,aus-agent-terra-check,0,0,0,0,0,,
aus-agent-sat-go,aus-agent-test-full,0,0,0,0,0,,
aus-agent-sat-go,aus-agent-test-v2,0,0,0,0,0,,
aus-agent-sat-go,test-ase-api-server-run-1,0,0,0,0,0,,
aus-agent-sat-go,test-ase-api-server-run,0,0,0,0,0,,
aus-agent-terra-check,aus-agent-test-full,0,0,0,0,0,,
aus-agent-terra-check,aus-agent-test-v2,1,1,0,1,0,0.0,1.0
aus-agent-terra-check,test-ase-api-server-run-1,1,1,1,0,0,1.0,0.0
aus-agent-terra-check,test-ase-api-server-run,1,1,1,0,0,1.0,0.0
aus-agent-test-full,aus-agent-test-v2,47,47,27,19,1,0.585106,0.414894
aus-agent-test-full,test-ase-api-server-run-1,0,0,0,0,0,,
aus-agent-test-full,test-ase-api-server-run,0,0,0,0,0,,
aus-agent-test-v2,test-ase-api-server-run-1,1,1,0,1,0,0.0,1.0
aus-agent-test-v2,test-ase-api-server-run,1,1,1,0,0,1.0,0.0
test-ase-api-server-run-1,test-ase-api-server-run,1,1,1,0,0,1.0,0.0
